volumen,volumen_log,precio_promedio_kg,indice_precio_diesel,lluvia_hoy,dias_con_helada_en_cultivo,T2M_MIN,T2M_MAX,zona_acobamba,zona_ambo,zona_andahuaylas,zona_angaraes,zona_antabamba,zona_arequipa,zona_barranca,zona_cajatambo,zona_canete,zona_cangallo,zona_canta,zona_caraveli,zona_caylloma,zona_chanchamayo,zona_chincha,zona_churcampa,zona_concepcion,zona_daniel alcides carrion,zona_huamalies,zona_huamanga,zona_huanca sancos,zona_huancavelica,zona_huancayo,zona_huanta,zona_huanuco,zona_huaral,zona_huarochiri,zona_huaura,zona_huaycabamba,zona_huaytara,zona_ica,zona_jauja,zona_julcan,zona_junin,zona_la mar,zona_lima,zona_lucanas,zona_nazca,zona_oxapampa,zona_oyon,zona_pachitea,zona_palpa,zona_parinacochas,zona_pasco,zona_pisco,zona_sanchez carrion,zona_santiago de chuco,zona_tarma,zona_tayacaja,zona_yauli,zona_yauyos,fecha_sin,fecha_cos
27.0,3.332204510175204,0.85,89.1625,0.13,0.0,13.92,19.67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5086709438521044,0.8609610158889943
20.0,3.044522437723423,0.85,89.1625,2.1,0.0,6.04,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5086709438521044,0.8609610158889943
247.0,5.513428746164983,0.85,89.1625,0.0,0.0,6.04,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5086709438521044,0.8609610158889943
252.0,5.53338948872752,0.85,89.1625,1.42,0.0,5.49,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5086709438521044,0.8609610158889943
26.0,3.295836866004329,0.85,89.1625,0.51,0.0,7.53,14.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5086709438521044,0.8609610158889943
496.0,6.208590026096629,0.85,89.1625,5.6,0.0,7.53,14.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5086709438521044,0.8609610158889943
27.0,3.332204510175204,0.85,89.1625,1.16,0.0,7.53,14.14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5086709438521044,0.8609610158889943
12.0,2.5649493574615367,0.85,89.1625,0.45,0.0,3.85,15.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5086709438521044,0.8609610158889943
16.0,2.833213344056216,0.85,89.1625,0.41,2.0,1.86,13.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5086709438521044,0.8609610158889943
40.0,3.713572066704308,0.85,89.1625,8.41,0.0,6.44,15.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5086709438521044,0.8609610158889943
171.0,5.147494476813453,0.85,89.1625,13.97,0.0,9.05,16.53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5086709438521044,0.8609610158889943
42.0,3.7612001156935615,0.84,89.1625,0.49,0.0,3.26,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4937755501599772,0.869589389346611
70.0,4.262679877041316,0.84,89.1625,2.26,0.0,16.52,24.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4937755501599772,0.869589389346611
41.0,3.737669618283368,0.84,89.1625,0.0,0.0,18.17,25.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4937755501599772,0.869589389346611
